Date/Time,Word Count,de,en,es,fr,it,ja,pl,ru,zh-Hans
2020.02.11-21.08.32,545,0,545,0,0,0,0,0,0,0
2020.02.11-21.37.34,542,0,542,0,0,0,0,0,0,0
2020.02.11-22.54.38,522,0,522,0,0,0,0,0,0,0
2020.02.12-20.58.58,519,0,519,0,0,0,0,0,0,0
2020.02.12-21.15.29,519,0,519,0,0,0,0,0,519,0
2020.02.12-22.13.14,516,0,516,0,0,0,0,0,509,0
2020.02.12-22.15.25,516,0,516,0,0,0,0,0,513,0
2020.02.13-15.34.41,508,0,508,0,0,0,0,0,435,0
2020.02.13-16.35.56,508,0,508,0,0,0,0,0,508,0
2020.02.13-16.36.06,507,0,507,0,0,0,0,0,507,0
2020.02.13-17.38.36,508,0,508,0,0,0,0,0,507,0
2020.02.13-17.45.03,508,0,508,0,0,0,0,0,508,0
2020.02.13-17.53.51,508,0,508,0,0,0,0,0,503,0
2020.02.13-17.54.48,508,0,508,0,0,0,0,0,508,0
